City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,0,PF,1540170034,100,-9.8,-139.03,80.42,13.22
Avarua,75,CK,1540166400,57,-21.21,-159.78,75.2,9.17
Birao,36,CF,1540170034,36,10.3,22.78,85.51,7.29
Narsaq,92,GL,1540169400,86,60.91,-46.05,26.6,1.12
Bluff,0,AU,1540170035,62,-23.58,149.07,79.93,9.08
Kindu,36,CD,1540170035,100,-2.95,25.92,69.49,2.26
Rio Grande,20,BR,1540169911,86,-32.03,-52.1,63.73,15.23
Phan Thiet,0,VN,1540170036,100,10.93,108.1,79.34,4.16
Linqiong,92,CN,1540166400,93,30.42,103.46,59.0,2.24
Hilo,40,US,1540166160,69,19.71,-155.08,82.4,9.17
Kibuye,12,RW,1540170037,100,-2.07,29.35,52.79,3.71
Saint-Georges,48,CA,1540170005,51,46.12,-70.67,30.92,9.31
Zholymbet,88,KZ,1540170037,87,51.74,71.71,35.83,9.86
Tarakan,48,ID,1540170038,100,3.3,117.63,81.32,4.38
Leku,0,ET,1540170038,87,6.87,38.44,54.19,3.04
Port Hardy,20,CA,1540166400,87,50.7,-127.42,50.0,3.36
New Norfolk,75,AU,1540168200,55,-42.78,147.06,66.2,10.29
Cooma,0,AU,1540170039,77,-36.24,149.13,61.25,6.73
Ribeira Grande,48,PT,1540169891,99,38.52,-28.7,69.13,20.27
Saurimo,88,AO,1540170039,99,-9.66,20.4,64.54,0.69
Necochea,92,AR,1540170026,70,-38.55,-58.74,62.06,5.61
Vardo,5,US,1540169220,56,39.62,-77.74,44.6,6.93
Hermiston,1,US,1540165980,48,45.84,-119.29,62.6,3.36
Northam,32,GB,1540165800,71,51.04,-4.21,50.0,3.36
Thunder Bay,5,CA,1540166400,80,48.41,-89.26,33.8,4.16
Tuktoyaktuk,90,CA,1540166400,92,69.44,-133.03,21.2,14.99
Hasaki,20,JP,1540166400,72,35.73,140.83,62.6,8.05
Chokurdakh,76,RU,1540170042,85,70.62,147.9,12.61,12.77
Barrow,92,AR,1540170042,65,-38.31,-60.23,61.66,5.61
Lebu,20,ET,1540166400,82,8.96,38.73,55.4,3.36
Namibe,32,AO,1540170043,100,-15.19,12.15,71.06,7.74
Praia,0,BR,1540166400,77,-20.25,-43.81,64.4,6.93
Canutama,8,BR,1540170044,91,-6.53,-64.38,79.52,3.6
Punta Arenas,0,CL,1540166400,70,-53.16,-70.91,42.8,10.29
Albany,90,US,1540166040,51,42.65,-73.75,39.2,11.41
Nikolskoye,0,RU,1540168200,75,59.7,30.79,46.4,8.95
Butaritari,24,KI,1540170045,100,3.07,172.79,84.56,7.18
Rikitea,100,PF,1540169899,98,-23.12,-134.97,75.34,8.63
