City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Qaanaaq,0,GL,1540694609,100,77.48,-69.36,-7.88,9.64
Sitka,0,US,1540694610,44,37.17,-99.65,56.3,8.19
Hithadhoo,92,MV,1540694610,100,-0.6,73.08,78.03,8.75
Thompson,75,CA,1540692000,98,55.74,-97.86,32.0,8.05
Souillac,0,FR,1540693800,80,45.6,-0.6,39.2,9.17
Arraial do Cabo,88,BR,1540694611,97,-22.97,-42.02,72.68,12.88
Ancud,92,CL,1540694611,97,-41.87,-73.83,53.51,7.18
Noumea,0,NC,1540692000,40,-22.28,166.46,86.0,9.17
Atuona,0,PF,1540694612,100,-9.8,-139.03,79.52,17.25
Georgetown,0,GY,1540692000,88,6.8,-58.16,78.8,2.24
Saraland,1,US,1540694100,100,30.82,-88.07,55.4,3.27
Butaritari,12,KI,1540694613,100,3.07,172.79,85.77,11.77
Bilma,32,NE,1540694613,30,18.69,12.92,74.25,5.95
Punta Arenas,75,CL,1540692000,53,-53.16,-70.91,50.0,29.97
Aljezur,92,PT,1540694427,100,37.31,-8.8,54.68,24.18
Hermanus,0,ZA,1540694614,87,-34.42,19.24,59.09,2.82
Busselton,32,AU,1540694386,90,-33.64,115.35,66.38,5.17
Abapo,92,BO,1540694615,98,-18.83,-63.47,64.94,1.59
Kholm,92,RU,1540694616,93,57.15,31.18,40.55,13.67
Provideniya,24,RU,1540694616,100,64.42,-173.23,26.55,3.83
Saint-Philippe,90,CA,1540692900,97,45.36,-73.48,35.6,20.8
New Norfolk,75,AU,1540693800,62,-42.78,147.06,57.2,6.93
Mataura,80,NZ,1540694617,96,-46.19,168.86,52.97,4.16
Port Elizabeth,90,US,1540693020,100,39.31,-74.98,50.0,10.29
Puerto Ayora,12,EC,1540694618,100,-0.74,-90.35,70.52,8.52
Rikitea,56,PF,1540694618,100,-23.12,-134.97,73.22,13.22
Hobyo,12,SO,1540694619,100,5.35,48.53,73.62,5.17
Saint George,0,GR,1540691400,93,39.45,22.34,53.6,4.7
Cape Town,0,ZA,1540692000,87,-33.93,18.42,60.8,1.12
Albany,90,US,1540692660,81,42.65,-73.75,44.6,5.82
Ushuaia,40,AR,1540692000,52,-54.81,-68.31,46.4,16.11
Lorengau,12,PG,1540694620,99,-2.02,147.27,84.65,2.48
Nalut,8,LY,1540694620,90,31.86,10.98,57.6,8.41
Fruitvale,90,CA,1540692000,93,49.12,-117.55,42.8,1.7
Pocone,36,BR,1540694621,86,-16.26,-56.62,78.98,3.15
San Jose,20,PH,1540694593,58,15.79,120.99,85.73,4.16
Port Alfred,36,ZA,1540694622,97,-33.59,26.89,67.1,14.0
Fishers,90,US,1540692900,93,39.96,-86.01,50.0,3.36
Tiksi,56,RU,1540694623,77,71.64,128.87,17.6,17.92
Sao Joao da Barra,36,BR,1540694623,100,-21.64,-41.05,74.57,4.16
Castro,88,CL,1540694624,98,-42.48,-73.76,52.92,6.51
Rantoul,40,US,1540691760,87,40.31,-88.16,48.2,2.71
Kangalassy,40,RU,1540692000,84,62.35,129.97,6.8,2.82
Bluff,0,AU,1540694625,27,-23.58,149.07,101.07,4.72
San Vicente,40,SV,1540691400,100,13.64,-88.78,77.0,8.05
Erdenet,0,MN,1540694627,63,49.03,104.04,37.08,3.71
Hobart,75,AU,1540693800,54,-42.88,147.33,57.2,6.93
Hay River,40,CA,1540692000,100,60.82,-115.79,24.8,2.24
Ujfeherto,76,HU,1540694628,74,47.8,21.68,58.37,10.65
Banjar,76,ID,1540694628,85,-7.37,108.54,77.58,3.38
Ilulissat,36,GL,1540691400,86,69.22,-51.1,30.2,4.7
Linqing,0,CN,1540694629,29,36.85,115.71,65.84,9.98
Soyo,92,AO,1540694630,92,-6.13,12.37,77.18,3.15
Necochea,20,AR,1540694630,75,-38.55,-58.74,60.26,9.98
Mnogovershinnyy,92,RU,1540694630,97,53.94,139.92,39.15,11.99
Ponta do Sol,48,BR,1540694631,90,-20.63,-46.0,67.68,6.06
Kapaa,40,US,1540691760,65,22.08,-159.32,84.2,13.87
Stonehaven,40,GB,1540693200,86,56.96,-2.22,39.2,12.75
Winnemucca,1,US,1540691760,47,40.97,-117.74,59.0,8.05
Barrow,24,AR,1540694633,73,-38.31,-60.23,60.35,11.77
Touros,8,BR,1540694633,96,-5.2,-35.46,74.66,8.97
Mandera,56,ET,1540694633,85,3.94,41.86,71.1,2.71
Santa Ana,40,SV,1540691400,100,13.99,-89.56,69.8,8.05
Airai,0,TL,1540694634,36,-8.93,125.41,88.61,2.15
Shangqiu,0,CN,1540694635,30,34.42,115.65,70.02,10.09
Maragogi,64,BR,1540694635,96,-9.01,-35.22,73.49,9.19
Cidreira,80,BR,1540694635,96,-30.17,-50.22,62.37,7.63
Palmer,75,AU,1540693800,52,-34.85,139.16,68.0,12.75
Jamestown,92,AU,1540694636,100,-33.21,138.6,57.83,4.27
Urengoy,12,RU,1540694637,82,65.96,78.37,25.7,21.05
Bubaque,0,GW,1540694637,100,11.28,-15.83,82.62,4.38
Bealanana,36,MG,1540694637,92,-14.54,48.75,60.62,2.15
Coahuayana,24,MX,1540694638,75,18.62,-100.35,68.45,3.04
Dikson,92,RU,1540694638,100,73.51,80.55,26.55,33.58
Zarubino,88,RU,1540694638,100,42.65,131.06,47.7,9.19
Carnarvon,0,ZA,1540694639,26,-30.97,22.13,54.32,1.48
Cabedelo,20,BR,1540692000,78,-6.97,-34.84,77.0,4.7
Sao Gabriel,0,BR,1540694639,82,-30.34,-54.32,59.09,9.08
Ahipara,80,NZ,1540694639,86,-35.17,173.16,60.98,13.22
Mwinilunga,24,ZM,1540694640,43,-11.73,24.43,62.6,5.61
Serenje,0,ZM,1540694640,45,-13.23,30.22,60.75,11.21
Komsomolskiy,68,RU,1540694640,84,67.55,63.78,22.5,6.06
Maceio,0,BR,1540692000,83,-9.67,-35.74,73.4,5.82
Iquitos,0,PE,1540692000,88,-3.75,-73.25,77.0,2.24
Iqaluit,75,CA,1540692000,78,63.75,-68.52,15.8,23.04
Sainthia,88,IN,1540694642,69,23.95,87.68,77.22,4.38
Severo-Kurilsk,92,RU,1540694642,99,50.68,156.12,43.61,14.45
Vaini,0,IN,1540694643,38,15.34,74.49,76.95,5.28
Cherskiy,80,RU,1540694643,87,68.75,161.3,2.43,5.95
Upernavik,76,GL,1540694643,100,72.79,-56.15,23.22,22.28
Port Macquarie,90,AU,1540692000,63,-31.43,152.91,66.2,16.11
Ostrovnoy,56,RU,1540694644,81,68.05,39.51,24.71,12.44
Kibala,0,TD,1540692000,83,9.11,18.35,77.0,2.71
Kawalu,92,ID,1540694645,96,-7.38,108.21,71.73,2.93
Torbay,75,CA,1540692000,80,47.66,-52.73,35.6,6.93
Avarua,90,CK,1540692000,94,-21.21,-159.78,73.4,10.29
Selikhino,80,RU,1540694646,94,50.37,137.51,36.45,11.43
Faanui,44,PF,1540694646,100,-16.48,-151.75,81.63,9.42
Uusikaupunki,20,FI,1540693200,100,60.8,21.41,32.0,6.93
Thinadhoo,92,MV,1540694647,100,0.53,72.93,80.55,14.12
Tiznit,56,MA,1540694647,100,29.7,-9.73,63.05,8.41
