City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Qinnan,0,CN,1540431215,62,33.25,119.91,70.93,13.27
Mitu,48,IR,1540431215,60,36.2,46.09,54.77,8.01
Sao Joaquim,48,BR,1540431215,98,-28.29,-49.93,51.26,4.21
Port Blair,92,IN,1540431216,100,11.67,92.75,82.45,3.42
Mahebourg,40,MU,1540429200,77,-20.41,57.7,69.8,4.7
Tessalit,0,ML,1540431216,37,20.2,1.01,67.91,7.23
Saint-Philippe,20,CA,1540429200,94,45.36,-73.48,42.8,6.67
Grand Gaube,40,MU,1540429200,77,-20.01,57.66,69.8,4.7
Warrensburg,1,US,1540431300,50,38.76,-93.74,53.6,4.7
Cabo San Lucas,5,MX,1540428240,73,22.89,-109.91,80.6,11.41
Rikitea,80,PF,1540431218,100,-23.12,-134.97,70.97,14.5
Haines Junction,64,CA,1540431218,78,60.75,-137.51,32.22,1.86
Pangkalanbuun,12,ID,1540431218,94,-2.68,111.62,84.87,2.75
Ostrovnoy,24,RU,1540431219,92,68.05,39.51,19.31,2.75
Torbay,40,CA,1540429200,81,47.66,-52.73,42.8,16.11
Sitka,92,US,1540431219,100,37.17,-99.65,45.59,8.57
Arauca,75,VE,1540429200,100,7.08,-70.76,77.0,3.09
Puerto Ayora,20,EC,1540425600,73,-0.74,-90.35,71.6,19.46
Chuy,92,UY,1540431221,90,-33.69,-53.46,59.94,13.49
Thompson,40,CA,1540429200,86,55.74,-97.86,30.2,6.93
Igboho,24,NG,1540431222,93,8.84,3.76,74.12,9.35
Hithadhoo,48,MV,1540431222,100,-0.6,73.08,82.35,5.88
Atuona,44,PF,1540431222,100,-9.8,-139.03,80.56,16.51
Salalah,0,OM,1540428600,60,17.01,54.1,75.2,3.36
Albany,75,US,1540428900,93,42.65,-73.75,44.6,4.7
Tuktoyaktuk,20,CA,1540429200,92,69.44,-133.03,24.8,6.93
Katsuura,40,JP,1540429200,63,33.93,134.5,66.2,11.41
Lavrentiya,92,RU,1540431224,100,65.58,-170.99,38.12,32.5
Pangody,64,RU,1540431224,90,65.85,74.49,20.35,10.8
Ivanjica,0,RS,1540429200,75,43.58,20.23,41.0,6.93
Hilo,75,US,1540428960,74,19.71,-155.08,80.6,8.05
Shingu,0,JP,1540429200,52,33.72,135.99,68.0,6.93
Saldanha,0,PT,1540431226,82,41.42,-6.55,35.96,3.2
Bethel,75,US,1540428780,93,60.79,-161.76,39.2,4.97
Klaksvik,68,FO,1540428600,100,62.23,-6.59,44.6,20.8
Agua Verde,75,MX,1540428180,94,22.89,-105.97,78.8,5.82
Quincy,90,US,1540430100,88,30.59,-84.58,69.8,6.67
Kalianget,0,ID,1540431227,63,-7.35,109.91,82.45,1.74
Clyde River,75,CA,1540429560,92,70.47,-68.59,17.6,20.8
Yellowknife,20,CA,1540429200,86,62.45,-114.38,30.2,14.99
Dwarka,0,IN,1540429200,68,28.58,77.04,66.2,2.86
Talcahuano,0,CL,1540429200,81,-36.72,-73.12,53.6,6.93
Ayorou,0,NE,1540431229,39,14.73,0.92,72.68,3.98
Hobart,75,AU,1540429200,38,-42.88,147.33,59.0,6.93
